Model,Scenario,Variable,Short Name,Unit,Region,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Carbon Capture & Sequestration,Carbon Capture & Sequestration,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,1150,,,,8150,,,,,,,,,,9150,,,,12150,,,,,,,,12850,,21250,,,27150,28150,29950,30750,33150,33750,37450,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Concentrated Solar Power,Concentrated Solar Power,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,13.8,43.8,103.8,133.8,193.8,273.8,353.8,353.8,353.8,353.8,353.8,353.8,353.8,353.8,353.8,353.8,353.8,353.8,353.8,353.8,353.8,355,429,484,663,969,1704.52,2566.52,3841.93,4498.93,4750.04,4860.04,4959.11,5673.93,6274.93,6924.93,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Offshore Wind,Offshore Wind,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,50,100,250,505,600,690,775,1150,1450,2100,3055.8,3776.06,5334.4,7171.2,8492.07,11717.47,14341.85,18836.75,23628.6,28308.1,34808.1,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Ground Source Heat Pumps,Ground Source Heat Pumps,MWt,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854,,,,,5275,,,,,15384,,,,,33134,,,,,50528,,,,,77547,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Solid Biomass,Solid Biomass,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26536,28157,29508,31638,33712,37720,40998,43261,46732,52013,55514,59644,62940,68346,72373,77679,84927,89635,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Biogas,Biogas,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447,2769,3030,3438,3742,4794,5365,6231,6727,8272,9509,11414,13195,13912,14922,15550,16434,17003,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Liquid Biofuels,Liquid Biofuels,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,51,65,769,1299,1420,1054,1319,1698,1858,1912,2071,2039,2336,2416,2320,2320,,,,,
Technology Indicators,Release 2023.1,Total Length|High Speed Rail,High Speed Rail,Length in Kilometers,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4527,4844,4994,5243,5978,7007,7312,8413,9213,9234,9813,10849,11709,15292,18021,20339,23962,27191,33361,38792,41077,43898,48717,53420,56129,,
Technology Indicators,Release 2023.1,Annual Production|Oil Production,Oil Production,Millions of Tons,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490.52,2633.8,2870.43,2875.23,2739.9,2966.44,3069.45,3107.63,3228.91,3110.74,2941.8,2812.13,2790.85,2869.2,2818.81,2934.74,2967.09,3103.37,3141.95,3186.86,3188.08,3226.49,3254.85,3286.94,3340.19,3430.27,3528.35,3589.49,3526.35,3654.09,3664.86,3634.26,3789.99,3949.74,4004.46,4046.19,4049.23,4099.27,4004.59,4104.05,4150.46,4245.08,4265.12,4352.51,4458.39,4516.19,4505.63,4619.33,4617.42,4296.19,,
Technology Indicators,Release 2023.1,Total Length|Public Roads,Public Roads,Miles,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320000,2325000,2330000,2340000,2351000,2360000,2370000,2382000,2395000,2410000,2430000,2470000,2515000,2590000,2666000,2745000,2850000,2925000,3000000,3050000,3105000,3160000,3196000,3233000,3243000,3246000,3243000,3257000,3262000,3272000,3259000,3295000,3296000,3286000,3309000,3310000,3267000,3245000,3257000,3274000,3287000,3309700,3308500,3311000,3311200,3319300,3316500,3326200,3322700,3321700,3313000,3326500,3343200,3366200,3394600,3418200,3429800,3453100,3478800,3510700,3545700,3573000,3599600,3620500,3644100,3689700,3698000,3704900,3684100,3710300,3730100,3758900,3786700,3806900,3815800,3838100,3857400,3867200,3884800,3917500,3859800,3852500,3865900,3879600,3891500,3863900,3877900,3874000,3870700,3876900,3866900,3883900,3901100,3905200,3906600,3912300,3934300,3960500,3921000,3932000,3951100,3963300,3981700,3990900,3997500,4011600,4033000,4048500,4059400,4067400,4083800,4094400,4092700,4115500,4177100,4154700,4140100,,,,,,
Technology Indicators,Release 2023.1,Total Length|Railroad Tracks,Railroad Tracks,Miles built,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,139,330,446,660,798,1078,1426,1879,2265,2756,3362,3867,4155,4335,4612,4945,5208,6264,7312,8573,9847,12135,14305,17747,20200,21671,23748,25714,27421,28921,29937,30657,31231,32178,32997,34401,36942,39410,43513,49171,55831,63270,68487,71071,72677,75252,77532,79960,84966,91842,101631,113230,120049,124023,127154,135554,148635,155701,161408,167147,171767,176415,179439,181199,182619,184311,186420,189685,194254,199148,204516,210542,216194,220026,224414,230037,235249,238463,242211,246333,249399,252396,255467,256999,257932,259030,260009,260730,261416,261730,262205,262529,262956,263535,264179,265184,265963,266988,267654,268167,268915,269078,269102,269178,269223,269316,269464,269502,269560,269586,269640,269714,269770,269891,269956,270024,270178,270274,270352,270461,270590,270706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Total Length|Natural Gas Pipelines,Natural Gas Pipelines,Miles,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630900,,,,,767500,,,,,913300,,,,,979300,,,,,1051800,,,,,1110785,,,,,1270295,1217451,1216081,1276303,1335530,1331788,1290163,1331606,1372639,1364281,1377320,1412876,1462213,1432046,1470290,1489242,1509307,1524439,1533876,1545476,1554377,1563638,1567477,1575707,1585809,1594501,1603982,1615764,1627252,1638999,1647688,,
Technology Indicators,Release 2023.1,Total Length|Oil Pipelines,Oil Pipelines,Miles,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158248,160990,159889,166669,166760,166719,169846,173789,175965,181986,183575,186411,192602,199984.52,208812.15,212354.31,216241.9,219326.93,225214.06,229478.14,,
Technology Indicators,Release 2023.1,Computing Capacity|Microprocessor Clock Speed,Microprocessor Clock Speed,Hz,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350000,2060000,2140000,2290000,1940000,2410000,2630000,4070000,5190000,5890000,7210000,9430000,12660000,15630000,19440000,21180000,29030000,34150000,53380000,78040000,140500000,184280000,337000000,413680000,,1684000000,2317000000,3088000000,3990000000,5173000000,5631000000,6739000000,,,11511000000,,,19348000000,,,28751000000,,,,,,
Technology Indicators,Release 2023.1,Computing Capacity|Transistors Per Microprocessor,Transistors Per Microprocessor,Transistors per microprocessor,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308,3555,,6098,,,,,29164,,,135773,,,273842,,,,1210000,,,,3110000,,9650000,,,15260000,21670000,37180000,42550000,55730000,151250000,273840000,305050000,582940000,805840000,,2310000000,,,,5000000000,5700000000,10000000000,,19200000000,,,,,
Technology Indicators,Release 2023.1,Computing Capacity|Processor Performance,Processor Performance,Million Instructions per Second (MIPS),World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.08,,0.33,,0.4,,0.9,,,,2.5,,,5,,,,17,,,,100,,800,,1005,,1500,4000,10000,12000,,,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Computing Capacity|Computing Growth,Computing Growth,"Calculations per second per $1,000",World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.05,,5.31,,,0.8,,0.37,1.84,,1.04,,1.43,6.1,11.88,,,0.37,,16.45,3.44,0.33,,0.91,1.51,151.5,,282.5,,,,,29.43,,158.6,482.6,1792,,49.72,213.6,,728.6,3401,10580,,777,3720,,,,,,26870,,,1114,,5621,,,,,,,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Computing Capacity|Random Access Memory,Random Access Memory,bits per dollars,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.03,,,,0.09,,,,,0.1,,0.21,,,1.16,,,6.51,,,,,11.39,,104.82,170.64,286.33,381.32,499.38,774.82,972.05,1810.5,5364.6,6537.3,13646,21053,16628,24710,25907,76453,100200,164100,182690,177780,221090,260990,1753900,3783300,6196700,7366900,52648000,31469000,36428000,93945000,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Computing Capacity|Magnetic Data Storage,Magnetic Data Storage,bits per dollars,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,158.8,,,,,,,,,,1437,,,,6941,,,,12380,,,,,,20040,19910,15320,11310,14500,41210,77440,214090,333200,417700,539600,611500,1613000,2078000,4985000,7067000,29450000,32720000,61560000,87180000,415300000,541000000,2283000000,4812000000,6552000000,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Computing Capacity|Internet Data Traffic,Internet Data Traffic,GB/month,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,33,65,128,252,498,1000,2000,4440,8720,25800,151000,1200000,5000000,11200000,25500000,75250000,175000000,356000000,681050000,1267800000,1802745619,2910579371,4477367718,6491159470,9301984735,13751003569,19974008812,26214897380,32798830927,42423169029,,,,,,,,
Technology Indicators,Release 2023.1,Computing Capacity|Internet Backbone Bandwidth,Internet Backbone Bandwidth,Bits/second,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,,,,50000,50000,50000,,50000,,,50000,,56000,,56000,56000,1544000,1544000,1544000,1544000,1544000,1544000,44736000,44736000,44736000,145000000,145000000,622080000,,2488000000,2488000000,2488000000,2488000000,2488000000,9952000000,9952000000,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Flow Battery Storage,Flow Battery Storage,KW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3200,3450,7450,7450,7465,7465,7465,8765,11775,16498,50737,56202,101675,111998,117798,318798,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Flywheel Battery Storage,Flywheel Battery Storage,KW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789440,789940,860440,860940,865540,886055,892970,894070,930650,939260,944268,952268,952268,952268,972268,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Thermal Energy Storage|Heat Thermal Battery Storage,Heat Thermal Battery Storage,KW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,12500,34500,34500,38775,52785,65100,67155,67155,126155,127255,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Thermal Energy Storage|Latent Heat Storage,Latent Heat Storage,KW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5355,5505,5505,6005,6005,6129,6129,9329,9329,9329,9529,17939,17939,18141,25226,30026,38176,84431,100411,107545,113545,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Lead-Acid Battery Storage,Lead-Acid Battery Storage,KW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000,39000,46250,47250,47250,47250,57250,57250,57250,57250,77250,77250,77755,77755,77755,79267,88375,107803,131361,136610,149624,155909,173856,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Lithium-Ion Battery Storage,Lithium-Ion Battery Storage,KW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,16307,27763,97629,197373,297153,595730,1074616,2097084,2543479,2956279,2979469,3024859,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Pumped Hydro Storage,Pumped Hydro Storage,KW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408200,408200,408200,408200,408200,564200,564200,875200,875200,899200,907700,1010300,1308300,1360900,2210900,2245900,2375100,2765600,2765600,3565600,5423800,6650300,8763000,10286000,11596000,12930400,15146400,15912400,19175400,28487100,30399100,32325100,35414100,36934100,39920300,45042300,47951300,54884460,59483460,60995460,65608460,72822700,77316700,79936500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Thermal Energy Storage|Sensible Heat Storage,Sensible Heat Storage,KW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10197,60197,203597,361117,583017,963192,1732446,2004026,2318526,2643526,2864526,2964526,,,,
