Model,Scenario,Variable,Short Name,Unit,Region,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Steam Locomotives,Steam Locomotives,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6,,,,,,,,,,268.14,,,,,,,,,,1513.31,,,,,,,,,,5454.44,,,,,,,,,,13635.28,,,,,,,,,,28903.39,,,,,,,,,,54577.33,,,,,,,,,,86772.98,,,,,,,,,,142605.84,,,,,,,,,,220439.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Stationary Steam Engines,Stationary Steam Engines,MW,World,0.14,,,,,,,,,,0.86,,,,,,,,,,2.17,,,,,,,,,,4.11,,,,,,,,,,6.87,,,,,,,,,,15.1,,,,,,,,,,26.01,,,,,,,,,,41.29,,,,,,,,,,63.87,,,,,,,,,,125.62,,,,,,,,,,230.92,,,,,,,,,,377.15,,,,,,,,,,648.27,,,,,,,,,,1710.21,,,,,,,,,,3462.11,,,,,,,,,,6543.51,,,,,,,,,,12313.98,,,,,,,,,,20901.94,,,,,,,,,,35145.35,,,,,,,,,,59513.23,,,,,,,,,,81298.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Motorcycles,Motorcycles,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,5.51,16.1,32.98,57.49,89.42,130.37,181.51,244.26,320.24,416.17,531.17,668.25,831,1023.61,1250.96,1518.67,1833.13,2201.52,2635.89,3210.11,3783.61,4357.88,5060.32,5972.99,6965.51,8141.89,9670.64,11366.03,13313.25,15096.01,16588.59,17867.69,18901.15,20180.86,21709.02,23438.59,25569.11,27885.69,30518.54,33551.5,37026.79,41007.74,45543.38,50625.69,56301.02,62783.05,70844.14,80650.96,92256.82,106965.18,123960.3,143418.19,166339.64,191804.41,218906.7,252073.16,285795.42,322951.61,362880.01,415017.33,470825.86,533490.11,599145.64,659927.58,727904.02,800634.68,870561.8,942733.21,1020757.81,1107570.38,1201719.41,1300082.14,1405077.48,1524737.52,1630249.14,1744479.96,1879727.28,2020456.88,2139020.77,2290620.79,2451834.66,2608325.46,2729495.47,2841252.71,2962887.53,3069811.68,3166802,3279249.96,3394994.64,3515446.53,3639223.94,3771509.13,3936811.54,4111266.73,4311937.66,4524103.2,4761417.81,4981593,5215064.14,5455877.89,5690156.97,5923854.05,6187413.7,6481174.01,6805235.85,7156277.2,7525628.36,7901861.03,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Cellphones,Cellphones,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,7.55,13.3,20.98,31.23,44.9,63.13,87.44,119.86,163.07,220.65,297.32,399.37,535.05,715.22,954.12,1270.2,1687.24,2235.51,2952.97,3886.2,5090.95,6631.57,8579.03,11022.53,13722.53,17397.06,21855.95,27043.73,32543.83,37994.41,45172.83,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Washing Machines,Washing Machines,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.21,174.28,277.4,392.9,522.26,667.14,829.4,1011.14,1214.68,1442.65,1697.98,1983.94,2304.22,2662.94,3064.7,3514.67,4018.64,4583.09,5215.26,5923.3,6716.31,7951.65,9724.07,12144.68,15343.51,19472.5,24708.81,31141.77,38958.36,48370.97,59620.64,72980.66,88043.33,104945.5,123833.49,144863.61,167758.3,192610.51,219517.07,248578.9,279901.08,313574.79,349710.8,388424.29,429835,474067.4,521250.85,571519.79,625013.89,681878.28,741475.14,800728.45,864177.63,933911.91,1002900.62,1074849.3,1154468.12,1238388.81,1325197.62,1412027.94,1500699.43,1587511.86,1690686.36,1795064.63,1911124.39,2044405.42,2164446.43,2290716.88,2425830.74,2552405,2676807.56,2799216.73,2915858.67,3041716.1,3167689.77,3291859.78,3394999.96,3506453.68,3623582.85,3738574.66,3859579.28,3979107.44,4117114.57,4264253.4,4415848.71,4571863.31,4732423.73,4897660.08,5066480.08,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Refrigerators,Refrigerators,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72,16.31,25.84,36.44,48.21,61.29,75.82,91.97,109.91,129.85,152,176.61,203.96,234.35,268.11,305.62,347.3,393.62,445.08,502.25,565.78,636.37,714.8,801.95,898.78,1006.36,1125.91,1258.73,1406.31,1570.3,1752.5,1954.94,2179.88,2455.31,2789.84,3193.2,3676.55,4252.71,4936.31,5744.12,6695.31,7811.77,9118.47,10643.91,12420.58,14485.45,16880.66,19654.1,22860.26,26561.06,30826.84,35737.47,41383.57,47492.82,54399.95,62068.92,69579.35,76477.68,83661.96,90908.29,98156.93,105089.97,111522.14,117497.8,123286.83,129251.77,135176,140982.73,147129.82,153208.39,160353.22,167315.69,174019.65,179690.31,184718.54,189450.67,194402.65,199159.52,204042.17,208872.86,213439.74,218017.67,222705.01,227122.99,231789.12,236870.95,242295.12,247607.57,253126.6,258676.11,264133.25,269772.03,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Laundry Dryers,Laundry Dryers,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.44,1181.3,1907.94,2743.57,3704.55,4809.68,6080.57,7542.1,9222.86,11155.73,13378.54,15823.62,18513.21,21471.76,24726.17,28306.01,32243.84,36575.46,41340.23,46581.49,52346.87,58688.78,65664.89,73338.61,81779.7,91064.9,101278.62,112003.02,123263.65,135087.3,147502.14,160537.73,174225.09,188596.81,203687.13,219531.96,236169.03,253637.96,271980.33,291239.82,311462.29,332695.88,354991.14,378401.18,402981.71,428791.27,455891.31,483151.25,510560.82,538253.83,563783.62,590788.31,619772.81,650155.71,678730.17,704871.95,732283.62,761558.82,791586.76,822459.26,852634.09,882248.94,910503.33,940397.71,971209.63,1003515.54,1036450.77,1070946.59,1106984.63,1143356.21,1177588.86,1209893.74,1241287.7,1271760.34,1301644.28,1330607.42,1359699.08,1389818.89,1417683.49,1451609.5,1486578.32,1522424.42,1558048.74,1595379.75,1640329.83,1683075.48,1725127.09,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Solar Photovoltaic,Solar Photovoltaic,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,5.9,7.7,13,19,21,24,30,32,37,43,50,56,52,64,56,83,100,126,169,238,319,482,667,1160,1532,2068,3978,7050,11261,21400,36600,36487,39869,45965,62664,78060,95000,109000,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Wind,Wind,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,83,323,920,1959,3181,4537,5933,7336,8861,10436,12020,13637,15293,16990,18688,20394,22242,24753,27331,31606,36292,42645,49370,58519,73385,93352,120124,158480,197384,237538,282278,318125,369290,432108,486218,538528,590428,650828,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Nuclear,Nuclear,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,200,400,700,1300,1400,2400,2800,3900,5500,6700,8800,9900,13400,16700,24000,32800,45300,62200,72400,86500,99800,115600,122600,137900,158300,172600,192191,223574,255374,280261,301721,314002,322531,327444,327072,331684,338669,341774,344878,351617,351700,348603,349734,352364,355104,359864,362214,367054,370504,371964,374094,373944,373084,377664,371304,375624,374164,378644,385194,392874,394104,398794,,,,
